[29142.8],[29139.9],[1691009640000000000]
[29139.9],[29136.3],[1691009700000000000]
[29136.3],[29135.2],[1691009760000000000]
[29135.2],[29124.3],[1691009820000000000]
[29123.7],[29111.8],[1691009880000000000]
[29111.8],[29111.8],[1691009940000000000]
[29118.1],[29114.3],[1691010000000000000]
[29113.7],[29100.7],[1691010120000000000]
[29100.7],[29092.5],[1691010180000000000]
[29098.1],[29098.1],[1691010240000000000]
[29096.3],[29102.6],[1691010300000000000]
[29101.8],[29101.8],[1691010360000000000]
[29103.3],[29103.3],[1691010480000000000]
[29105.0],[29105.0],[1691010600000000000]
[29097.5],[29097.6],[1691010660000000000]
[29099.4],[29097.0],[1691010720000000000]
